date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-05-03,DULL CTR 1SE,-9.05,-104.9614,43.4117,18.3,-4.4,Weak Cold
2013-03-04,MONTICELLO 5 SE,-14.12,-83.7833,30.4922,8.3,-0.6,Weak Cold
2013-11-25,MADISONVILLE,-15.28,-95.9203,30.9392,6.7,1.7,Weak Cold
2013-06-02,JONESBORO,10.87,-67.6494,44.6453,31.7,12.2,Weak Hot
2013-07-12,CEDARTOWN,5.18,-85.2339,34.0589,32.8,25.0,Weak Hot
2013-07-16,OURAY 4 NE,8.24,-109.6422,40.1342,36.7,22.2,Weak Hot
2013-12-22,MTN LAKE,6.27,-81.5992,27.9378,30.0,17.2,Weak Hot
2013-03-15,COLORADO SPRINGS MUNI AP,11.85,-104.6883,38.81,22.8,4.4,Weak Hot
2013-05-30,PORT ARTHUR SE TX AP,5.61,-94.0206,29.9506,31.1,25.0,Weak Hot
2013-08-26,QUARTZSITE,-6.39,-114.2272,33.665,35.0,22.2,Weak Cold
2013-10-06,LONG BRANCH OAKHURST,10.26,-74.0047,40.2797,21.7,18.3,Weak Hot
2013-01-28,GUNNISON 3SW,11.25,-106.9672,38.5253,7.8,-8.3,Weak Hot
2013-11-25,HIGH POINT,-23.32,-79.9722,35.9672,4.4,-6.7,Strong Cold
2013-11-10,MINCHUMINA,16.37,-152.2817,63.9033,5.0,-6.1,Weak Hot
2013-10-05,POUGHKEEPSIE DUTCHESS CO AP,11.3,-73.8842,41.6267,24.4,15.6,Weak Hot
2013-11-25,BLOOMINGTON IN UNIV,-27.96,-86.5214,39.1742,-2.8,-10.6,Strong Cold
2013-04-18,TRINIDAD PERRY STOKES AP,-31.5,-104.3378,37.2622,-1.0,-10.5,Strong Cold
2013-10-30,RUTLAND,-10.02,-72.9781,43.6253,5.6,-6.7,Weak Cold
2013-01-18,WENDOVER AP AWOS,-13.98,-114.0358,40.7206,-12.2,-17.8,Weak Cold
2013-08-31,MARSHALLTOWN,8.27,-92.9244,42.0647,36.1,20.0,Weak Hot
2013-10-25,BELLEVILLE SIU RSCH,-12.91,-89.8467,38.52,13.9,-5.6,Weak Cold
2013-01-10,CRESCENT CITY 3 NNW,-7.06,-124.2147,41.7958,5.6,1.1,Weak Cold
2013-08-16,BRIDGEWATER,-10.67,-97.5017,43.5525,18.3,12.8,Weak Cold
2013-09-09,COLBY 1SW,11.89,-101.0689,39.3925,38.3,17.2,Weak Hot
2013-11-25,LINCOLN 1 SE,-14.77,-98.13,39.0294,-1.7,-9.4,Weak Cold
2013-01-18,OAK CITY,-16.67,-112.3342,39.3758,-12.8,-19.4,Weak Cold
2013-12-06,LOA,-14.86,-111.6433,38.4058,-10.6,-23.9,Weak Cold
2013-09-13,HEPPNER,7.85,-119.5639,45.3653,31.1,16.1,Weak Hot
2013-11-25,LAUREL 3 W,-24.37,-76.9003,39.0847,1.1,-7.8,Strong Cold
2013-04-29,MC CALL,8.01,-116.1047,44.8872,17.8,5.0,Weak Hot
2013-02-01,MORRIS WC EXP STN,-17.27,-95.8747,45.5903,-22.2,-26.7,Weak Cold
2013-01-28,SIOUX CITY GATEWAY AP,13.87,-96.3792,42.3914,4.4,1.1,Weak Hot
2013-09-05,WHITING FLD NAS,5.71,-87.0167,30.7167,36.7,21.7,Weak Hot
2013-02-16,BERKELEY,7.35,-122.2606,37.8744,22.8,8.3,Weak Hot
2013-05-03,CAMARILLO AP,14.19,-119.0833,34.2167,35.6,10.6,Weak Hot
2013-11-27,EVANSVILLE REGIONAL AP,-25.03,-87.5206,38.0442,-1.0,-8.2,Strong Cold
2013-06-08,EDEN,-7.59,-99.8494,31.2208,26.1,14.4,Weak Cold
2013-01-14,FAIRBANKS INTL AP,44.84,-147.8761,64.8039,2.8,-4.4,Strong Hot
2013-11-22,LULING,-15.22,-97.6578,29.6756,7.2,1.7,Weak Cold
2013-08-27,MORA,17.65,-93.3147,45.8775,34.4,21.7,Strong Hot
2013-07-29,ANN ARBOR U OF MICH,-8.11,-83.7108,42.2947,20.6,12.2,Weak Cold
2013-09-02,WEST POINT 2 NW,7.08,-76.8,37.5658,32.2,22.2,Weak Hot
2013-06-17,ST PETERSBURG AP,3.05,-82.6261,27.7628,33.3,27.2,Weak Hot
